%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1698242624802676475,133,1698242624802033662,GPS1_Frame,42.33717346191406,-71.08975982666016,14.699999809265137,327844.34375,4689328.5,19,T
1698242625803046955,134,1698242625802305459,GPS1_Frame,42.3371467590332,-71.08979034423828,14.699999809265137,327841.65625,4689325.0,19,T
1698242626801587168,135,1698242626800999164,GPS1_Frame,42.33710479736328,-71.08980560302734,14.600000381469727,327839.90625,4689321.0,19,T
1698242627802473070,136,1698242627801675796,GPS1_Frame,42.337066650390625,-71.08980560302734,14.5,327839.8125,4689316.5,19,T
1698242628803117051,137,1698242628802201032,GPS1_Frame,42.337032318115234,-71.08979034423828,14.699999809265137,327841.34375,4689312.5,19,T
1698242629802265096,138,1698242629801712274,GPS1_Frame,42.33700180053711,-71.08975219726562,14.399999618530273,327844.15625,4689309.0,19,T
1698242630801121008,139,1698242630800750017,GPS1_Frame,42.33698272705078,-71.08970642089844,14.300000190734863,327847.96875,4689307.0,19,T
1698242631802051621,140,1698242631801426649,GPS1_Frame,42.33697509765625,-71.08965301513672,14.199999809265137,327852.0625,4689306.0,19,T
1698242632802262241,141,1698242632801904916,GPS1_Frame,42.33698272705078,-71.08960723876953,14.199999809265137,327855.90625,4689307.0,19,T
1698242633802182982,142,1698242633801486015,GPS1_Frame,42.33700180053711,-71.08956909179688,14.199999809265137,327859.40625,4689309.0,19,T
1698242634801076185,143,1698242634800407409,GPS1_Frame,42.33702850341797,-71.08953857421875,14.100000381469727,327862.09375,4689311.5,19,T
1698242635802146545,144,1698242635801449537,GPS1_Frame,42.337059020996094,-71.08951568603516,14.100000381469727,327863.6875,4689315.0,19,T
1698242636803238581,145,1698242636802038192,GPS1_Frame,42.337093353271484,-71.08951568603516,14.100000381469727,327864.1875,4689319.0,19,T
1698242637804004392,146,1698242637803316116,GPS1_Frame,42.33712387084961,-71.08951568603516,14.0,327863.84375,4689322.5,19,T
1698242638802101929,147,1698242638801453113,GPS1_Frame,42.337154388427734,-71.08953094482422,13.899999618530273,327862.71875,4689326.0,19,T
1698242639803998858,148,1698242639803334951,GPS1_Frame,42.337181091308594,-71.08955383300781,14.5,327861.125,4689329.0,19,T
1698242640804595193,149,1698242640803928613,GPS1_Frame,42.33720397949219,-71.08958435058594,14.5,327858.84375,4689331.0,19,T
1698242641804182016,150,1698242641803495645,GPS1_Frame,42.337223052978516,-71.08961486816406,14.699999809265137,327856.28125,4689333.5,19,T
1698242642803772426,151,1698242642803150892,GPS1_Frame,42.33723449707031,-71.08964538574219,14.899999618530273,327853.4375,4689334.5,19,T
1698242643802362422,152,1698242643802054166,GPS1_Frame,42.33723831176758,-71.08968353271484,15.199999809265137,327850.5625,4689335.5,19,T
1698242644802645373,153,1698242644801963329,GPS1_Frame,42.33723831176758,-71.08971405029297,15.399999618530273,327847.96875,4689335.0,19,T
1698242645802976505,154,1698242645802307128,GPS1_Frame,42.33722686767578,-71.08973693847656,15.5,327845.875,4689334.5,19,T
1698242646802199942,155,1698242646801790952,GPS1_Frame,42.337223052978516,-71.08975219726562,15.5,327844.75,4689333.5,19,T
1698242647802739792,156,1698242647802134752,GPS1_Frame,42.337215423583984,-71.08975982666016,15.600000381469727,327844.46875,4689333.0,19,T
1698242648802631877,157,1698242648801978349,GPS1_Frame,42.33721923828125,-71.08975982666016,15.5,327844.34375,4689333.0,19,T
1698242649801351612,158,1698242649800796508,GPS1_Frame,42.33721923828125,-71.08975982666016,15.399999618530273,327844.34375,4689333.0,19,T
1698242650801442462,159,1698242650800817966,GPS1_Frame,42.33721923828125,-71.08975982666016,15.399999618530273,327844.34375,4689333.0,19,T
1698242651802052854,160,1698242651801394462,GPS1_Frame,42.33721923828125,-71.08975982666016,15.399999618530273,327844.34375,4689333.0,19,T
1698242652803264098,161,1698242652802691221,GPS1_Frame,42.33721923828125,-71.08975982666016,15.399999618530273,327844.34375,4689333.0,19,T
